id,wholeName
3866,Fényes Ösvény
3867,Mirdzošā taka
3868,Šviečiantis kelias
3869,Świetlisty Szlak
3870,Svetlý chodník
3871,Sijoča pot
5703,Светъл път
5704,Cărarea Luminoasă
5705,CL
372,SL
672,Rasheed Bank
674,Al Rashid Bank
675,Al-Rasheed Bank
673,Al-Rashid Bank
676,Rafidain Bank
677,Al-Rafidain Bank
1809,Gruppo Abu Sayyaf
1795,De Groep Abu Sayyaf
1790,Abu Sayyaf Gruppe
1720,Grupo Abu Sayyaf
1875,Groupe Abu Sayyaf
889,Abu Sayyaf Group
890,Al Harakat Al Islamiyya
1846,Grupo Abu Sayyaf
894,Jamiat Ayat-Ur-Rhas Al Islamia
893,Lajnat Ul Masa Eidatul Afghania
892,ASC
891,Afghan Support Committee
1877,Comité de soutien afghan
1855,Αφγανική Επιτροπή Στήριξης
1721,Comité de Apoio ao Afeganistão
895,Jamiat Ihya Ul Turath Al Islamia
896,Ahya Ul Turas
7396,Ал Кайда
7397,базата
7398,Al Qa’ida/ Ислямска армия
7399,Фондация за спасение на исляма
7400,Група за опазване на светите места
7401,Ислямска армия за освобождение на светите места
7402,Световен ислямски фронт за джихад срещу евреите и кръстоносците
7403,Мрежа Осама бин Ладен
7404,Организация „Осама бин Ладен“
7405,Al-Kajdá
7406,síť Usámy Bin Ládina
7407,organizace Usámy Bin Ládina
7408,Sieć Osamy Bin Lagena
7409,Organizacja Osamy Bin Ladena
7410,Al Kaida
7411,baza
7412,Islamska rešilna fundacija
7413,Skupina za ohranitev svetih krajev
7414,Islamska vojska za osvoboditev svetih krajev
7415,Svetovna islamska fronta za džihad proti Judom in križarjem
7416,mreža Osame bin Ladna
7417,organizacija Osame bin Ladna
7418,Al Qa’ida / Islamska vojska
7419,Baza
7420,Fundația salvării islamice
7421,Grupul pentru păstrarea locurilor sfinte
7422,Armata islamică de eliberare a locurilor sfinte
7423,Frontul islamic mondial pentru Jihadul împotriva evreilor și a cruciaților
7424,Rețeaua lui Osama ben Laden
7425,Organizația lui Osama ben Laden
7426,Al Qa’ida/Armata islamică
898,Al-Qaida
899,Al Qa’ida/ Islamic Army
900,The Base
901,Al Qaeda
902,Islamic Salvation Foundation
903,The Group for the Preservation of the Holy Sites
904,The Islamic Army for the Liberation of Holy Places
905,The World Islamic Front for Jihad Against Jews and Crusaders
906,Usama Bin Laden Network
907,Usama Bin Laden Organisation
1722,Al Qaida/Exército islâmico
1724,Fundação da Salvação Islâmica
1725,Grupo para a Preservação dos Lugares Santos
1726,Exército Islâmico de Libertação dos Lugares Santos
1727,Frente Islâmica Mundial para o Jihad Contra os Judeus e os Cruzados
1728,Rede de Osama bin Laden
1729,Organização de Osama bin Laden
1777,Usama Bin Laden Organization
1792,Osama bin Laden-Netzwerk
1793,Osama bin Laden-Organisation
1848,La Base
1850,Usamah bin Laden Network
1851,Usamah bin Laden Organisation
1857,Αλ Κάιντα
1858,Αλ Κάιντα/Ισλαμικός στρατός
1859,Ισλαµικό Ίδρυµα Σωτηρίας
1860,Όµιλος για τη Διαφύλαξη των Αγίων Τόπων
1861,Ισλαµικός Στρατός για την Απελευθέρωση των Αγίων Τόπων
1862,∆ίκτυο του Οσάµα Μπιν Λάντεν
1878,armée islamique
1879,la base
1880,Fondation du salut islamique
1881,Groupe pour la préservation des lieux saints
1882,Armée islamique pour la libération des lieux saints
1883,Front islamique mondial pour le Jihad contre les Juifs et les croisés
1884,Réseau d'Oussama ben Laden
1885,Organisation d'Oussama ben Laden
1929,Παγκόσµιο Ισλαµικό Μέτωπο για τον Ιερό Πόλεµο (Τζιχάντ) κατά των Εβραίων και Σταυροφόρων
7313,Al Qa’ida
7395,Η Βάση
7303,"Al-Madina Trust, Pakistan"
7302,Al Madina Trust
2406,Al Rasheed Trust
2407,Al-Rashid Trust
2408,"Aid Organisation of the Ulema, Pakistan"
909,Al-Rasheed Trust
908,Al Rashid Trust
7394,"Organizzazzjoni tal- Għajnuna tal-Ulema, Pakistan"
7393,"Организация за подпомагане на Ulema, Пакистан"
7298,Al Amin Welfare Trust
7299,Al Amin Trust
7300,Al Ameen Trust
7301,Al-Ameen Trust
952,AIAI
951,Al-Itihaad Al-Islamiya
1895,nouveau Jihad
1894,Al-Jihad égyptien
1893,Jihad islamique égyptien
960,New Jihad
959,Jihad Group
957,Egyptian Al-Jihad
954,Egyptian Islamic Jihad
7383,Египетски ислямско движение
7382,Нов джихад
7381,Групата джихад
7380,Египетски Al-Jihad
